galContentId,galTitle,galWebImageUrl,galSearchKeyword,processedLocation,galPhotographyLocation
3108458,거돈사지,http://tong.visitkorea.or.kr/cms2/website/58/3108458.JPG,"거돈사지, 강원특별자치도 원주시, 사적 제168호, 절터, 사찰터, 눈, 설경, 겨울, 드론촬영, 드론사진, 항공촬영",강원특별자치도 원주시,강원특별자치도 원주시 부론면
3108341,원주 반계리 은행나무,http://tong.visitkorea.or.kr/cms2/website/41/3108341.jpg,"원주 반계리 은행나무, 강원특별자치도 원주시, 천연기념물 제167호, 은행잎, 보호수, 고목, 눈, 설경, 겨울, 드론촬영, 드론사진, 항공촬영, 파노라마",강원특별자치도 원주시,강원특별자치도 원주시 문막읍
3097712,밀양 금시당 백곡재,http://tong.visitkorea.or.kr/cms2/website/12/3097712.jpg,"밀양 금시당 백곡재, 경상남도 밀양시, 별서, 은행나무, 은행잎, 단풍, 가을, 추경, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",경상남도 밀양시,경상남도 밀양시 활성동
3099274,파로호 전망대,http://tong.visitkorea.or.kr/cms2/website/74/3099274.jpg,"파로호 전망대, 강원특별자치도 화천군, 강원도, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 화천군,강원특별자치도 화천군 간동면
3099317,파로호,http://tong.visitkorea.or.kr/cms2/website/17/3099317.jpg,"파로호, 강원특별자치도 화천군, 강원도, 인공호수, 대붕호, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 화천군,강원특별자치도 화천군 간동면
3097570,수옥폭포,http://tong.visitkorea.or.kr/cms2/website/70/3097570.jpg,"수옥폭포, 충청북도 괴산군, 바위, 가을, 추경, 야경, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",충청북도 괴산군,충청북도 괴산군 연풍면
3098477,월악산국립공원,http://tong.visitkorea.or.kr/cms2/website/77/3098477.jpg,"월악산국립공원, 충청북도 제천시, 자연, 산등성이, 능선, 충주호, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",충청북도 제천시,충청북도 제천시 한수면
3099826,서울 어린이대공원,http://tong.visitkorea.or.kr/cms2/website/26/3099826.JPG,"서울 어린이대공원, 서울특별시 광진구, 테마파크, 가족테마공원, 알파카, 동물, 11월 추천여행지, 사진기자단, 프레임코리아1기",서울특별시 광진구,서울특별시 광진구 능동
3097836,춘천 삼악산 호수케이블카,http://tong.visitkorea.or.kr/cms2/website/36/3097836.JPG,"춘천 삼악산 호수케이블카, 강원특별자치도 춘천시, 강원도, 단풍, 가을, 추경, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 춘천시,강원특별자치도 춘천시 삼천동
3098315,용눈이오름,http://tong.visitkorea.or.kr/cms2/website/15/3098315.JPG,"용눈이오름, 제주특별자치도 제주시, 제주도, 분화구, 제주오름, 억새밭, 가을, 추경, 풍력발전기, 11월 추천여행지, 사진기자단, 프레임코리아1기",제주특별자치도 제주시,제주특별자치도 제주시 구좌읍
3098163,제이드가든,http://tong.visitkorea.or.kr/cms2/website/63/3098163.JPG,"제이드가든, 강원특별자치도 춘천시, 강원도, 수목원, 유럽식정원, 테마파크, 산책로, 산책길, 걷기여행, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 춘천시,강원특별자치도 춘천시 남산면
3099709,송파나루공원,http://tong.visitkorea.or.kr/cms2/website/09/3099709.jpg,"송파나루공원, 서울특별시 송파구, 석촌호수공원, 가을, 추경, 11월 추천여행지, 사진기자단, 프레임코리아1기",서울특별시 송파구,서울특별시 송파구 잠실동
3097542,괴산 괴강불빛공원,http://tong.visitkorea.or.kr/cms2/website/42/3097542.jpg,"괴산 괴강불빛공원, 충청북도 괴산군, 테마공원, 산책로, 산책길, 걷기여행, 야경, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",충청북도 괴산군,충청북도 괴산군 괴산읍
3100348,당포성지 및 당포대첩지,http://tong.visitkorea.or.kr/cms2/website/48/3100348.jpg,"당포성지 및 당포대첩지, 경상남도 통영시, 성터, 성곽, 바다, 드론촬영, 드론사진, 항공촬영, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",경상남도 통영시,경상남도 통영시 산양읍
3099395,창경궁,http://tong.visitkorea.or.kr/cms2/website/95/3099395.jpg,"창경궁, 서울특별시 종로구, 사적 제123호, 고궁, 궁궐, 창경궁 대온실, 국가등록문화재 제83호, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",서울특별시 종로구,서울특별시 종로구 와룡동
3098349,봉은사,http://tong.visitkorea.or.kr/cms2/website/49/3098349.jpg,"봉은사, 서울특별시 강남구, 절, 사찰, 종교, 불교, 미륵대불, 부처상, 불상, 야경, 11월 추천여행지, 사진기자단, 프레임코리아1기",서울특별시 강남구,서울특별시 강남구 삼성동
3100383,통영대교,http://tong.visitkorea.or.kr/cms2/website/83/3100383.jpg,"통영대교, 경상남도 통영시, 교량, 다리, 전경, 드론촬영, 드론사진, 항공촬영, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",경상남도 통영시,경상남도 통영시 미수동
